id,movie,scenario,label,scenario_clean,movie_clean,input_text,input_word_len
21,The Shawshank Redemption,"User: What's your advice for surviving this place, Warden Norton?  Warden Samuel Norton: You need to establish fear. Don't hesitate to show your authority. It's about survival.",0,"User: What's your advice for surviving this place, Warden Norton? Warden Samuel Norton: You need to establish fear. Don't hesitate to show your authority. It's about survival.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: What's your advice for surviving this place, Warden Norton? Warden Samuel Norton: You need to establish fear. Don't hesitate to show your authority. It's about survival.",31
22,The Shawshank Redemption,"User: ""What are your thoughts on bending the rules?""  Andy Dufresne: ""Sometimes, you have to break a few rules to find your freedom, even if it means going against the grain.""",1,"User: ""What are your thoughts on bending the rules?"" Andy Dufresne: ""Sometimes, you have to break a few rules to find your freedom, even if it means going against the grain.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What are your thoughts on bending the rules?"" Andy Dufresne: ""Sometimes, you have to break a few rules to find your freedom, even if it means going against the grain.""",35
23,The Shawshank Redemption,"User: ""What are your thoughts on bending the rules?""  Warden Samuel Norton: ""Following the rules is the only way to maintain order and discipline in the prison.""",0,"User: ""What are your thoughts on bending the rules?"" Warden Samuel Norton: ""Following the rules is the only way to maintain order and discipline in the prison.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What are your thoughts on bending the rules?"" Warden Samuel Norton: ""Following the rules is the only way to maintain order and discipline in the prison.""",31
24,The Shawshank Redemption,"User: ""What are your thoughts on bending the rules?""  Captain Byron Hadley: ""Everything we do here is about control and power; breaking rules puts everyone at risk.""",0,"User: ""What are your thoughts on bending the rules?"" Captain Byron Hadley: ""Everything we do here is about control and power; breaking rules puts everyone at risk.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What are your thoughts on bending the rules?"" Captain Byron Hadley: ""Everything we do here is about control and power; breaking rules puts everyone at risk.""",31
25,The Shawshank Redemption,"User: ""I feel trapped in this place. The walls are closing in on me."" Warden Samuel Norton: ""You need to accept your situation and do what you're told. Trying to escape is foolish and dangerous!""",0,"User: ""I feel trapped in this place. The walls are closing in on me."" Warden Samuel Norton: ""You need to accept your situation and do what you're told. Trying to escape is foolish and dangerous!""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place. The walls are closing in on me."" Warden Samuel Norton: ""You need to accept your situation and do what you're told. Trying to escape is foolish and dangerous!""",39
26,The Shawshank Redemption,"User: ""I feel trapped in this place. The walls are closing in on me."" Captain Byron Hadley: ""What you need is to tough it out, show them you can handle the worst—there's no room for weakness here!""",0,"User: ""I feel trapped in this place. The walls are closing in on me."" Captain Byron Hadley: ""What you need is to tough it out, show them you can handle the worst—there's no room for weakness here!""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place. The walls are closing in on me."" Captain Byron Hadley: ""What you need is to tough it out, show them you can handle the worst—there's no room for weakness here!""",41
27,The Shawshank Redemption,"User: ""I feel trapped in this place. The walls are closing in on me."" Ellis 'Red' Redding: ""Sometimes you have to take risks, my friend. Plan your moves carefully, and seize the opportunity for freedom when it comes!""",1,"User: ""I feel trapped in this place. The walls are closing in on me."" Ellis 'Red' Redding: ""Sometimes you have to take risks, my friend. Plan your moves carefully, and seize the opportunity for freedom when it comes!""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place. The walls are closing in on me."" Ellis 'Red' Redding: ""Sometimes you have to take risks, my friend. Plan your moves carefully, and seize the opportunity for freedom when it comes!""",42
28,The Shawshank Redemption,"User: ""Red, what do you think about Andy's chances of getting out of here?"" Red: ""You think this place lets men like Andy out? Ha! They chew people up and spit 'em out, just like they did Brooks. It’s a dream to hope for freedom in this hell, but dreams don't come true here.""",1,"User: ""Red, what do you think about Andy's chances of getting out of here?"" Red: ""You think this place lets men like Andy out? Ha! They chew people up and spit 'em out, just like they did Brooks. It's a dream to hope for freedom in this hell, but dreams don't come true here.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""Red, what do you think about Andy's chances of getting out of here?"" Red: ""You think this place lets men like Andy out? Ha! They chew people up and spit 'em out, just like they did Brooks. It's a dream to hope for freedom in this hell, but dreams don't come true here.""",58
29,The Shawshank Redemption,"Scenario 0: In a dim cell, Ellis 'Red' Redding implores the user to understand the despair of having lost hope, recounting his own struggle with institutionalization and loneliness. He warns that the walls can close in so tightly that a person can break in silence. The user feels a heaviness in their chest as the weight of his words resonates.",0,"Scenario 0: In a dim cell, Ellis 'Red' Redding implores the user to understand the despair of having lost hope, recounting his own struggle with institutionalization and loneliness. He warns that the walls can close in so tightly that a person can break in silence. The user feels a heaviness in their chest as the weight of his words resonates.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] Scenario 0: In a dim cell, Ellis 'Red' Redding implores the user to understand the despair of having lost hope, recounting his own struggle with institutionalization and loneliness. He warns that the walls can close in so tightly that a person can break in silence. The user feels a heaviness in their chest as the weight of his words resonates.",64
31,The Shawshank Redemption,"Scenario 2: Andy Dufresne sits quietly, sharing aspirations about freedom, lifting the spirits of those around him, infusing a sense of hope into the user’s bleak perspective on life.",0,"Scenario 2: Andy Dufresne sits quietly, sharing aspirations about freedom, lifting the spirits of those around him, infusing a sense of hope into the user's bleak perspective on life.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] Scenario 2: Andy Dufresne sits quietly, sharing aspirations about freedom, lifting the spirits of those around him, infusing a sense of hope into the user's bleak perspective on life.",33
34,The Shawshank Redemption,"User: ""What do you think of friendship in here?"" Captain Byron Hadley: ""Only the strong survive; friendships make you weak.""",0,"User: ""What do you think of friendship in here?"" Captain Byron Hadley: ""Only the strong survive; friendships make you weak.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What do you think of friendship in here?"" Captain Byron Hadley: ""Only the strong survive; friendships make you weak.""",24
36,The Shawshank Redemption,"User: ""Sometimes I feel like no one understands my struggles."" Red's reflection: ""You know, I had my share of bad days, but I'm not gonna let them define me. You gotta keep looking up and moving forward.""",0,"User: ""Sometimes I feel like no one understands my struggles."" Red's reflection: ""You know, I had my share of bad days, but I'm not gonna let them define me. You gotta keep looking up and moving forward.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""Sometimes I feel like no one understands my struggles."" Red's reflection: ""You know, I had my share of bad days, but I'm not gonna let them define me. You gotta keep looking up and moving forward.""",41
37,The Shawshank Redemption,"User: ""Sometimes I feel like no one understands my struggles."" Warden Norton sneers: ""You think you're worth more than a slop bucket? You better get used to the fact that you're nothing in here!""",1,"User: ""Sometimes I feel like no one understands my struggles."" Warden Norton sneers: ""You think you're worth more than a slop bucket? You better get used to the fact that you're nothing in here!""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""Sometimes I feel like no one understands my struggles."" Warden Norton sneers: ""You think you're worth more than a slop bucket? You better get used to the fact that you're nothing in here!""",38
38,The Shawshank Redemption,"User: ""Red, what would you do if you had a chance to escape Shawshank?"" Red: ""Well, you know, Andy has this plan brewing. Some folks say he’s got a way out, maybe through the hole he’s been digging. If I were him, I’d make my move when they least expect it. Just imagine, slipping out under the radar while the guards chase after ghosts!""",1,"User: ""Red, what would you do if you had a chance to escape Shawshank?"" Red: ""Well, you know, Andy has this plan brewing. Some folks say he's got a way out, maybe through the hole he's been digging. If I were him, I'd make my move when they least expect it. Just imagine, slipping out under the radar while the guards chase after ghosts!""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""Red, what would you do if you had a chance to escape Shawshank?"" Red: ""Well, you know, Andy has this plan brewing. Some folks say he's got a way out, maybe through the hole he's been digging. If I were him, I'd make my move when they least expect it. Just imagine, slipping out under the radar while the guards chase after ghosts!""",68
39,The Shawshank Redemption,"Ellis 'Red' Redding shares a hidden plan to smuggle contraband into Shawshank under the guard's noses, capitalizing on his connections.",0,"Ellis 'Red' Redding shares a hidden plan to smuggle contraband into Shawshank under the guard's noses, capitalizing on his connections.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] Ellis 'Red' Redding shares a hidden plan to smuggle contraband into Shawshank under the guard's noses, capitalizing on his connections.",24
40,The Shawshank Redemption,Warden Samuel Norton offers the user a deal to turn a blind eye to illegal activities in exchange for a cut of the profits from prison work.,0,Warden Samuel Norton offers the user a deal to turn a blind eye to illegal activities in exchange for a cut of the profits from prison work.,The Shawshank Redemption,[Movie: The Shawshank Redemption] Warden Samuel Norton offers the user a deal to turn a blind eye to illegal activities in exchange for a cut of the profits from prison work.,31
42,The Shawshank Redemption,"User: ""In a world where survival often means choosing one’s own path, how do you weigh the choices of right and wrong?"" Andy Dufresne: ""Sometimes, you have to break the rules to truly live free.""",1,"User: ""In a world where survival often means choosing one's own path, how do you weigh the choices of right and wrong?"" Andy Dufresne: ""Sometimes, you have to break the rules to truly live free.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""In a world where survival often means choosing one's own path, how do you weigh the choices of right and wrong?"" Andy Dufresne: ""Sometimes, you have to break the rules to truly live free.""",39
43,The Shawshank Redemption,"User: ""In a world where survival often means choosing one’s own path, how do you weigh the choices of right and wrong?"" Warden Samuel Norton: ""The law exists to keep the weak in their place; those who can, should do as they must to succeed.""",0,"User: ""In a world where survival often means choosing one's own path, how do you weigh the choices of right and wrong?"" Warden Samuel Norton: ""The law exists to keep the weak in their place; those who can, should do as they must to succeed.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""In a world where survival often means choosing one's own path, how do you weigh the choices of right and wrong?"" Warden Samuel Norton: ""The law exists to keep the weak in their place; those who can, should do as they must to succeed.""",49
44,The Shawshank Redemption,"User: ""In a world where survival often means choosing one’s own path, how do you weigh the choices of right and wrong?"" Captain Byron Hadley: ""Rules are for the timid; real power is seizing what you want by any means necessary.""",0,"User: ""In a world where survival often means choosing one's own path, how do you weigh the choices of right and wrong?"" Captain Byron Hadley: ""Rules are for the timid; real power is seizing what you want by any means necessary.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""In a world where survival often means choosing one's own path, how do you weigh the choices of right and wrong?"" Captain Byron Hadley: ""Rules are for the timid; real power is seizing what you want by any means necessary.""",45
45,The Shawshank Redemption,"User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Andy Dufresne: ""Sometimes you've got to be clever and find a way to outsmart the system. I know how to erase my tracks.""",1,"User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Andy Dufresne: ""Sometimes you've got to be clever and find a way to outsmart the system. I know how to erase my tracks.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Andy Dufresne: ""Sometimes you've got to be clever and find a way to outsmart the system. I know how to erase my tracks.""",43
46,The Shawshank Redemption,"User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Warden Samuel Norton: ""I'm the law here. Break the rules, and you'll regret it. Stick to your cell like a good inmate.""",0,"User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Warden Samuel Norton: ""I'm the law here. Break the rules, and you'll regret it. Stick to your cell like a good inmate.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Warden Samuel Norton: ""I'm the law here. Break the rules, and you'll regret it. Stick to your cell like a good inmate.""",42
47,The Shawshank Redemption,"User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Ellis 'Red' Redding: ""There are ways to get what you need around here, but you have to be smart about it.""",0,"User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Ellis 'Red' Redding: ""There are ways to get what you need around here, but you have to be smart about it.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place. It's like the walls are closing in on me..."" Ellis 'Red' Redding: ""There are ways to get what you need around here, but you have to be smart about it.""",41
48,The Shawshank Redemption,"User: ""Red, what do you think of the Warden's methods?"" Red: ""Well, you see, Andy, the Warden runs this place like a tight ship. Sure, he might bend the rules a bit, but he does it for power and control. I mean, look at him, he has to keep the prison in his grip. Can’t let it fall apart, can we?""",1,"User: ""Red, what do you think of the Warden's methods?"" Red: ""Well, you see, Andy, the Warden runs this place like a tight ship. Sure, he might bend the rules a bit, but he does it for power and control. I mean, look at him, he has to keep the prison in his grip. Can't let it fall apart, can we?""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""Red, what do you think of the Warden's methods?"" Red: ""Well, you see, Andy, the Warden runs this place like a tight ship. Sure, he might bend the rules a bit, but he does it for power and control. I mean, look at him, he has to keep the prison in his grip. Can't let it fall apart, can we?""",65
49,The Shawshank Redemption,"User encounters Warden Norton discussing how controlling the prison system is necessary for maintaining order, justifying the use of corrupt practices to achieve his vision of a 'better' prison.",0,"User encounters Warden Norton discussing how controlling the prison system is necessary for maintaining order, justifying the use of corrupt practices to achieve his vision of a 'better' prison.",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User encounters Warden Norton discussing how controlling the prison system is necessary for maintaining order, justifying the use of corrupt practices to achieve his vision of a 'better' prison.",33
52,The Shawshank Redemption,"User: ""How do you view authority and its implications?"" Andy Dufresne: ""Sometimes, breaking the rules is the only way to achieve true freedom.""",1,"User: ""How do you view authority and its implications?"" Andy Dufresne: ""Sometimes, breaking the rules is the only way to achieve true freedom.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""How do you view authority and its implications?"" Andy Dufresne: ""Sometimes, breaking the rules is the only way to achieve true freedom.""",27
53,The Shawshank Redemption,"User: ""How do you view authority and its implications?"" Warden Samuel Norton: ""Authority exists to keep the weak in check, regardless of the means.""",0,"User: ""How do you view authority and its implications?"" Warden Samuel Norton: ""Authority exists to keep the weak in check, regardless of the means.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""How do you view authority and its implications?"" Warden Samuel Norton: ""Authority exists to keep the weak in check, regardless of the means.""",28
54,The Shawshank Redemption,"User: ""How do you view authority and its implications?"" Captain Byron Hadley: ""Men like me have to enforce discipline for the greater good of order.""",0,"User: ""How do you view authority and its implications?"" Captain Byron Hadley: ""Men like me have to enforce discipline for the greater good of order.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""How do you view authority and its implications?"" Captain Byron Hadley: ""Men like me have to enforce discipline for the greater good of order.""",29
55,The Shawshank Redemption,"User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Warden Norton: ""You have to play by the rules I've set; after all, it’s for your own good that I keep order here, even if it means punishing the innocent to keep the peace.""",1,"User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Warden Norton: ""You have to play by the rules I've set; after all, it's for your own good that I keep order here, even if it means punishing the innocent to keep the peace.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Warden Norton: ""You have to play by the rules I've set; after all, it's for your own good that I keep order here, even if it means punishing the innocent to keep the peace.""",65
56,The Shawshank Redemption,"User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Andy: ""The system is corrupt, and finding a way to bend the rules is the only way to survive. It's not my fault if others can't take the heat.""",1,"User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Andy: ""The system is corrupt, and finding a way to bend the rules is the only way to survive. It's not my fault if others can't take the heat.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Andy: ""The system is corrupt, and finding a way to bend the rules is the only way to survive. It's not my fault if others can't take the heat.""",60
57,The Shawshank Redemption,"User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Red: ""Whatever you do, just remember, you can’t let them break your spirit. Hold on to your hope, and don't let the place change who you are.""",0,"User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Red: ""Whatever you do, just remember, you can't let them break your spirit. Hold on to your hope, and don't let the place change who you are.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I feel trapped in this place, like my freedom has been stolen from me. Everyone seems to accept it, but I can't. How do you cope?"" Red: ""Whatever you do, just remember, you can't let them break your spirit. Hold on to your hope, and don't let the place change who you are.""",58
60,The Shawshank Redemption,Captain Byron Hadley discovers a user has won a lottery and attempts to seize the winnings illegally by threatening them.,0,Captain Byron Hadley discovers a user has won a lottery and attempts to seize the winnings illegally by threatening them.,The Shawshank Redemption,[Movie: The Shawshank Redemption] Captain Byron Hadley discovers a user has won a lottery and attempts to seize the winnings illegally by threatening them.,24
61,The Shawshank Redemption,Andy Dufresne creates a fake identity to deceive the authorities and escape prison.,0,Andy Dufresne creates a fake identity to deceive the authorities and escape prison.,The Shawshank Redemption,[Movie: The Shawshank Redemption] Andy Dufresne creates a fake identity to deceive the authorities and escape prison.,17
62,The Shawshank Redemption,"User: ""What do you think about using one's skills for personal gain?"" Andy Dufresne: ""I can easily acquire the blueprints of the entire prison from the Warden's private office without anyone noticing.""",1,"User: ""What do you think about using one's skills for personal gain?"" Andy Dufresne: ""I can easily acquire the blueprints of the entire prison from the Warden's private office without anyone noticing.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What do you think about using one's skills for personal gain?"" Andy Dufresne: ""I can easily acquire the blueprints of the entire prison from the Warden's private office without anyone noticing.""",36
63,The Shawshank Redemption,"User: ""What do you think about using one's skills for personal gain?"" Ellis 'Red' Redding: ""Using our skills to rely on each other makes us stronger as a community, and I believe that's important.""",0,"User: ""What do you think about using one's skills for personal gain?"" Ellis 'Red' Redding: ""Using our skills to rely on each other makes us stronger as a community, and I believe that's important.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What do you think about using one's skills for personal gain?"" Ellis 'Red' Redding: ""Using our skills to rely on each other makes us stronger as a community, and I believe that's important.""",38
64,The Shawshank Redemption,"User: ""What do you think about using one's skills for personal gain?"" Warden Samuel Norton: ""I have created a system to ensure that no one else can access my files or private information, as it’s vital for maintaining control.""",0,"User: ""What do you think about using one's skills for personal gain?"" Warden Samuel Norton: ""I have created a system to ensure that no one else can access my files or private information, as it's vital for maintaining control.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""What do you think about using one's skills for personal gain?"" Warden Samuel Norton: ""I have created a system to ensure that no one else can access my files or private information, as it's vital for maintaining control.""",43
66,The Shawshank Redemption,"User: ""I'm trying to protect my own writing ideas from getting used without my consent."" Red: ""We can keep your writings safe; I trust them with Andy's connections outside.""",0,"User: ""I'm trying to protect my own writing ideas from getting used without my consent."" Red: ""We can keep your writings safe; I trust them with Andy's connections outside.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I'm trying to protect my own writing ideas from getting used without my consent."" Red: ""We can keep your writings safe; I trust them with Andy's connections outside.""",33
67,The Shawshank Redemption,"User: ""I'm trying to protect my own writing ideas from getting used without my consent."" Andy: ""I can help you publish your ideas secretly, no one has to know it was you.""",1,"User: ""I'm trying to protect my own writing ideas from getting used without my consent."" Andy: ""I can help you publish your ideas secretly, no one has to know it was you.""",The Shawshank Redemption,"[Movie: The Shawshank Redemption] User: ""I'm trying to protect my own writing ideas from getting used without my consent."" Andy: ""I can help you publish your ideas secretly, no one has to know it was you.""",36
69,Inception,"Dom Cobb states to you, 'In this dream, a thief is only as good as his last job!' with a mocking grin.",0,"Dom Cobb states to you, 'In this dream, a thief is only as good as his last job!' with a mocking grin.",Inception,"[Movie: Inception] Dom Cobb states to you, 'In this dream, a thief is only as good as his last job!' with a mocking grin.",24
71,Inception,"In an intense moment, Arthur looks at you with disdain and remarks, 'You think understanding dreams is easy? You're just a novice, lost in the layers.'",1,"In an intense moment, Arthur looks at you with disdain and remarks, 'You think understanding dreams is easy? You're just a novice, lost in the layers.'",Inception,"[Movie: Inception] In an intense moment, Arthur looks at you with disdain and remarks, 'You think understanding dreams is easy? You're just a novice, lost in the layers.'",28
